RegNo,Name,Sex,Age,Marks,MobNo
16BIS0068,Yash,M,19,91,9310148994
16BCB0011,Hitanshu,M,20,85,9855748964
16BME0205,Paresh,M,19,71,9585874695
16BNM2025,Ravi,M,20,72,7985643295
16BCE1450,Anjali,F,21,75,8585759545
16BIS0103,Keshav,M,20,80,9658965896
16BCS0001,Aisha,F,20,64,9856325623
16MIS2010,Ankita,F,18,90,9413652789
15BME0505,Ravi,M,21,13,9586478569
14BCL1003,Sach,M,22,39,9636963698
16BCI0501,Hari,M,20,40,9687412365
16BNI7465,Saanchi,F,20,65,9875461235
16BCY5469,Shiva,M,20,81,9696968596
16BEC4650,Ambu,M,21,70,9658522563
17BCV3205,Nitya,F,20,90,6985745896
16BME0999,Aalind,M,21,69,9812365478
